SectionOrder,ExternalId,Drug,Type,TypeSub,Value,SectionSubOrder
2,DNX0344,Multivitamins with Minerals,NDC,NDC,58487080031,1068
2,DNX0344,Multivitamins with Minerals,NDC,NDC,58487080032,1069
2,DNX0344,Multivitamins with Minerals,NDC,NDC,58526000534,1070
2,DNX0344,Multivitamins with Minerals,NDC,NDC,58526000535,1071
2,DNX0344,Multivitamins with Minerals,NDC,NDC,58676000002,1072
2,DNX0344,Multivitamins with Minerals,NDC,NDC,58676000022,1073
2,DNX0344,Multivitamins with Minerals,NDC,NDC,58676000023,1074
2,DNX0344,Multivitamins with Minerals,NDC,NDC,58809020060,1075
2,DNX0344,Multivitamins with Minerals,NDC,NDC,58809088801,1076
2,DNX0344,Multivitamins with Minerals,NDC,NDC,58859000813,1077
2,DNX0344,Multivitamins with Minerals,NDC,NDC,58859000913,1078
2,DNX0344,Multivitamins with Minerals,NDC,NDC,58865001401,1079
2,DNX0344,Multivitamins with Minerals,NDC,NDC,58914001006,1080
2,DNX0344,Multivitamins with Minerals,NDC,NDC,58914001460,1081
2,DNX0344,Multivitamins with Minerals,NDC,NDC,58918033310,1082
2,DNX0344,Multivitamins with Minerals,NDC,NDC,59015011002,1083
2,DNX0344,Multivitamins with Minerals,NDC,NDC,59015011005,1084
2,DNX0344,Multivitamins with Minerals,NDC,NDC,59015043401,1085
2,DNX0344,Multivitamins with Minerals,NDC,NDC,59015043403,1086
2,DNX0344,Multivitamins with Minerals,NDC,NDC,59015046101,1087
2,DNX0344,Multivitamins with Minerals,NDC,NDC,59015054201,1088
2,DNX0344,Multivitamins with Minerals,NDC,NDC,59015054202,1089
2,DNX0344,Multivitamins with Minerals,NDC,NDC,59015054203,1090
2,DNX0344,Multivitamins with Minerals,NDC,NDC,59015057601,1091
2,DNX0344,Multivitamins with Minerals,NDC,NDC,59015059001,1092
2,DNX0344,Multivitamins with Minerals,NDC,NDC,59015059502,1093
2,DNX0344,Multivitamins with Minerals,NDC,NDC,59015082253,1094
2,DNX0344,Multivitamins with Minerals,NDC,NDC,59015082968,1095
2,DNX0344,Multivitamins with Minerals,NDC,NDC,59015084101,1096
2,DNX0344,Multivitamins with Minerals,NDC,NDC,59015084202,1097
2,DNX0344,Multivitamins with Minerals,NDC,NDC,59015096201,1098
2,DNX0344,Multivitamins with Minerals,NDC,NDC,59074010002,1099
2,DNX0344,Multivitamins with Minerals,NDC,NDC,59528061601,1100
2,DNX0344,Multivitamins with Minerals,NDC,NDC,59528198801,1101
2,DNX0344,Multivitamins with Minerals,NDC,NDC,59618065012,1102
2,DNX0344,Multivitamins with Minerals,NDC,NDC,59630041360,1103
2,DNX0344,Multivitamins with Minerals,NDC,NDC,60049051844,1104
2,DNX0344,Multivitamins with Minerals,NDC,NDC,60104910302,1105
2,DNX0344,Multivitamins with Minerals,NDC,NDC,60104910306,1106
2,DNX0344,Multivitamins with Minerals,NDC,NDC,60142007610,1107
2,DNX0344,Multivitamins with Minerals,NDC,NDC,60142007710,1108
2,DNX0344,Multivitamins with Minerals,NDC,NDC,60142007806,1109
2,DNX0344,Multivitamins with Minerals,NDC,NDC,60142009410,1110
2,DNX0344,Multivitamins with Minerals,NDC,NDC,60142009510,1111
2,DNX0344,Multivitamins with Minerals,NDC,NDC,60142009906,1112
2,DNX0344,Multivitamins with Minerals,NDC,NDC,60142010706,1113
2,DNX0344,Multivitamins with Minerals,NDC,NDC,60258016716,1114
2,DNX0344,Multivitamins with Minerals,NDC,NDC,60258017706,1115
2,DNX0344,Multivitamins with Minerals,NDC,NDC,60346093130,1116
2,DNX0344,Multivitamins with Minerals,NDC,NDC,60346093160,1117
2,DNX0344,Multivitamins with Minerals,NDC,NDC,60569008150,1118
2,DNX0344,Multivitamins with Minerals,NDC,NDC,60569008160,1119
2,DNX0344,Multivitamins with Minerals,NDC,NDC,60619009450,1120
2,DNX0344,Multivitamins with Minerals,NDC,NDC,60814057601,1121
2,DNX0344,Multivitamins with Minerals,NDC,NDC,60814057610,1122
2,DNX0344,Multivitamins with Minerals,NDC,NDC,61098010010,1123
